BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,32,False
Hard_Default,bot5,Hard_Default,Hard_Default,100,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,32,False
Hard_Default,bot5,Hard_Default,Hard_Default,36,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,None,200,True
Hard_Default,bot5,bot5,bot5,68,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,92,False
Hard_Default,bot5,bot5,Hard_Default,90,False
Hard_Default,bot5,Hard_Default,Hard_Default,100,False
Hard_Default,bot5,bot5,Hard_Default,90,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,32,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,None,200,True
Hard_Default,bot5,bot5,bot5,69,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,32,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,69,False
Hard_Default,bot5,Hard_Default,None,200,True
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,100,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,44,False
Hard_Default,bot5,bot5,Hard_Default,66,False
Hard_Default,bot5,Hard_Default,Hard_Default,28,False
Hard_Default,bot5,bot5,bot5,32,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,bot5,69,False
Hard_Default,bot5,Hard_Default,bot5,98,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
Hard_Default,bot5,bot5,Hard_Default,100,False
Hard_Default,bot5,Hard_Default,Hard_Default,48,False
