BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,101,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,101,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,132,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,101,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,132,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
