BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot2,Hard_Default,Hard_Default,48,False
Hard_Default,bot2,bot2,bot2,28,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
Hard_Default,bot3,bot3,bot3,48,False
Hard_Default,bot3,Hard_Default,Hard_Default,30,False
